lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang
поставщик	NOUN	1918	1918-1990	1918-1990_поставщик_3734		Прекрасно зная воровские нравы торговцев мясом -- поставщиков морского министерства, Макаров решил построить холодильник и приобретать мясо не у перекупщиков, а прямо в Сибири.	50:61	0:176	3734	rushifteval	ru
поставщик	NOUN	1992	1992-2016	1992-2016_поставщик_3735		"Корреспондент ""Дела"" попытался выяснить у официальных поставщиков причину столь значительного роста продаж легальной продукции."	54:65	0:127	3735	rushifteval	ru
поставщик	NOUN	1918	1918-1990	1918-1990_поставщик_3736		За моей спиной стоял с поднятой рукой с занесенным над моей головой тяжеленным поленом мой поставщик двора, мой дровяной доходяга.	91:100	0:130	3736	rushifteval	ru
поставщик	NOUN	1992	1992-2016	1992-2016_поставщик_3737		Вся эта тарифная картинка еще более усложняется, когда разные поставщики покупают тепло у разных производителей.	62:72	0:112	3737	rushifteval	ru
поставщик	NOUN	1918	1918-1990	1918-1990_поставщик_3738		Современная Куйбышевская область площадью 53,6 тыс. кв. км -- наиболее промышленная в Поволжье, его индустриальное ядро и в то же время крупный поставщик продуктов сельского хозяйства.	144:153	0:184	3738	rushifteval	ru
поставщик	NOUN	1992	1992-2016	1992-2016_поставщик_3739		Наверняка мы не первый и не последний поставщик, который столкнулся с такой проблемой.	38:47	0:86	3739	rushifteval	ru
поставщик	NOUN	1918	1918-1990	1918-1990_поставщик_3740		Вспомним хотя бы те разорительные траты народных денег, которые идут на лечение больных, заболевших от алкоголя, на содержание инвалидов от того же алкоголя, на тюрьмы и исправительные колонии, верным поставщиком которых алкоголь всегда был и есть! в) Алкоголь понижает производительность народного труда.	201:212	0:305	3740	rushifteval	ru
поставщик	NOUN	1992	1992-2016	1992-2016_поставщик_3741		При чем здесь Вышний Волочек, если Манухин нашим поставщиком не стал Его-то зачем подставлять тому, кто Терентьича и Котю подставил Помрачнел и Кострецов: -- Ну, ну...	49:60	0:167	3741	rushifteval	ru
поставщик	NOUN	1918	1918-1990	1918-1990_поставщик_3742		Но они приходили в Батуми негодными: то ли поставщики, опасаясь конкуренции, подсовывали товар похуже, то ли семена гибли от высокой температуры.	43:53	0:145	3742	rushifteval	ru
поставщик	NOUN	1992	1992-2016	1992-2016_поставщик_3743		Действительно, АВТОВАЗ не готов к тому, чтобы потерять крупного поставщика комплектующих в Самарской области.	64:74	0:109	3743	rushifteval	ru
поставщик	NOUN	1918	1918-1990	1918-1990_поставщик_3744		"Вот как характеризует он их в одной записи: ""Их следует именовать не иначе, как проходами пищи (transito di sibo), множителями кала (aumentatori di stecro) и поставщиками нужников, ибо от них кроме полных нужников не остается ничего""."	158:170	0:234	3744	rushifteval	ru
поставщик	NOUN	1992	1992-2016	1992-2016_поставщик_3745		Сеть Metro борется с такими фирмами с помощью штрафов или вообще исключает их из списка поставщиков.	88:99	0:100	3745	rushifteval	ru
поставщик	NOUN	1918	1918-1990	1918-1990_поставщик_3746		Поставщики французской армии, присоединяя к своим капиталам огромные интендантские платежи, получили широкую возможность сначала скупать богатейшие земли из национального фонда, а потом строить огромные предприятия фабрично-заводского типа, обзаводясь машинами, давя конкурентов, скупая сырье, разоряя десятки тысяч кустарей, ремесленных артелей, истребляя лавочки и мастерские сотен тысяч мелких предпринимателей.	0:10	0:414	3746	rushifteval	ru
поставщик	NOUN	1992	1992-2016	1992-2016_поставщик_3747		"Проводим его как непосредственно на заводе своими силами и с привлечением поставщиков оборудования, так и отправляем сотрудников за границу""."	74:85	0:141	3747	rushifteval	ru
поставщик	NOUN	1918	1918-1990	1918-1990_поставщик_3748		Но я была довольна аккуратностью поставщика и не торговалась с ним.	33:43	0:67	3748	rushifteval	ru
поставщик	NOUN	1992	1992-2016	1992-2016_поставщик_3749		Ограничение роли социологии в поставщика фактов для разработки социотехнических мероприятий лишает ее возможности понимания реальных перспектив общественного развития, соотношения социально-классовых сил в борьбе за практическое изменение конкретной ситуации.	30:40	0:259	3749	rushifteval	ru
поставщик	NOUN	1918	1918-1990	1918-1990_поставщик_3750		Они откроют кредиты, которые послужат нам для поддержки коммунистической партии в их странах и, снабжая нас недостающими у нас материалами и техниками, восстановят нашу военную промышленность, необходимую для наших будущих победоносных атак против наших поставщиков.	254:265	0:266	3750	rushifteval	ru
поставщик	NOUN	1992	1992-2016	1992-2016_поставщик_3751		Заявки гарантирующих поставщиков в объеме принятых обязательств по поставкам электрической энергии и мощности удовлетворяются в обязательном порядке по равновесной цене оптового рынка в соответствии с правилами оптового рынка.	21:32	0:226	3751	rushifteval	ru
поставщик	NOUN	1918	1918-1990	1918-1990_поставщик_3752		С поставщиков берем от полутора до двух процентов комиссионных для покрытия наших расходов.	2:13	0:91	3752	rushifteval	ru
поставщик	NOUN	1992	1992-2016	1992-2016_поставщик_3753		Поэтому в Дели активно ищут выходы на других поставщиков вооружений и военной техники.	45:56	0:86	3753	rushifteval	ru
поставщик	NOUN	1918	1918-1990	1918-1990_поставщик_3754		Большинство поставщиков были просто аферистами, с которыми приходилось держать ухо востро.	12:23	0:90	3754	rushifteval	ru
поставщик	NOUN	1992	1992-2016	1992-2016_поставщик_3755		"Потенциальным поставщиком энергии может быть компания ""ЛУКОЙЛ Оверсиз"", имеющая нефтегазодобывающий проект в Кумкольском регионе Казахстана."	14:25	0:140	3755	rushifteval	ru
поставщик	NOUN	1918	1918-1990	1918-1990_поставщик_3756		Помещичьи хозяйства -- в недавнем прошлом основной поставщик товарного хлеба -- были уничтожены.	51:60	0:96	3756	rushifteval	ru
