	word	sent1	sent2	mean	annotator1	annotator2	annotator3
0	авторитет	Повышение <b><i>авторитета</i></b> комсомольской организации зависит от активного участия в ее работе каждого члена ВЛКСМ.	Всем известно, что зарплату он получает на предприятии последним, что, пользуясь опытом, <b><i>авторитетом</i></b> и честным словом, умудрился добиться увеличения объемов добычи угля за полугодие на 20 процентов (по сравнению с прошлым годом), что не дает отрасли умереть.	3.6666666666666665	4	3	4
1	авторитет	Но если жертва, принесенная Пастернаком во имя правды, не была напрасной ввиду его исключительного <b><i>авторитета</i></b> и заслуг, то в ненапрасности своей жертвы я не могу быть уверен.	"Не учел мужик только одного -- ""махновцам"" было плевать и на его дружбу, и на самих <b><i>авторитетов</i></b>."	1.0	1	1	1
2	авторитет	Обещал поддерживать <b><i>авторитет</i></b> академика Лысенко, президента агробиологов.	Признание и исправление ошибки лишь добавит <b><i>авторитета</i></b> президенту, которого, видимо, кто-то неправильно информировал.	4.0	4	4	4
3	авторитет	Видимо, пастух за это время успел завоевать <b><i>авторитет</i></b> и решил попросить прибавки.	"Неуверенные, как все узурпаторы, большевики пытались подпереть свое шаткое право на власть <b><i>авторитетами</i></b> прославленных имен; ради собственного утверждения над живыми скликали на помощь великих мертвых, внушая массам: ""вот кто за нас и с нами; вот кто наши предшественники и предтечи, провозвестники светлого будущего, имя которому большевизм!"""	2.6666666666666665	2	3	3
4	авторитет	Власти и <b><i>авторитета</i></b> Калинина еще достало на то, чтобы добиться такого послабления.	"Сколько раз за эти годы на него ""наезжали"" разные криминальные <b><i>авторитеты</i></b>, требуя процентов от доходов, сколько раз по телефону и напрямую ему угрожали конкуренты."	1.3333333333333333	1	2	1
5	авторитет	Как жаль, что в наше время нет подобного <b><i>авторитета</i></b>.	Вот, оказывается, как меня раскрутили -- я неожиданно для себя стал крупным, если не сказать крупнейшим, криминальным <b><i>авторитетом</i></b>.	2.0	1	1	4
6	авторитет	Тут напомнил мне А. Т. по праву старшего, что даже некий (безымянный) буржуазный орган (ближе к моему беспартийному пониманию он давал более понятный <b><i>авторитет</i></b>) написал, что конечно Солженицына был бы недостоин образ действий Синявского и Даниэля.	Или -- если правительство обладает безупречным моральным <b><i>авторитетом</i></b>, олицетворяет собою законность и действует не от себя лично, а от имени Правовой Нормы.	2.6666666666666665	1	4	3
7	авторитет	"Я обращаюсь к публике, говорю, что утратил <b><i>авторитет</i></b>, и прошу разрешения ""предоставить им полноту власти"", хотя и не ручаюсь, что из этого выйдет."	"Любопытно, что при всей эпатажности натуры окружающие находят Музу Пегасовну дамой, добровольно и безоговорочно признают ее <b><i>авторитет</i></b> и жизненное кредо: ""Что хочу -- то и могу""."	4.0	4	4	4
8	авторитет	До этого я украл из музея картину Рембрандта, чтобы самому найти ее и таким образом укрепить свой <b><i>авторитет</i></b> следователя.	Чайтанья не хотел (да и не мог) пошатнуть <b><i>авторитет</i></b> брахманов.	4.0	4	4	4
9	авторитет	Мне надо было, однако, совершить большое усилие, чтобы в имевшихся сведениях отделить главное от второстепенного, решиться изменить ряд общепризнанных атомных весов, отступить от того, что было признано лучшими тогда <b><i>авторитетами</i></b>.	Мы исполняемся доброй воли пойти по указанию философа, мудреца, <b><i>авторитета</i></b>.	3.6666666666666665	3	4	4
10	авторитет	Многие видели, что этот начальник отделения (остальных не было) явно потворствует срывам дисциплины и, больше того, желая сохранить свой <b><i>авторитет</i></b>, поощряет всякую шалость и проступки, нередко граничащие с хулиганством.	До меня семь удалений доли сделал Лев Константинович Богуш, главный <b><i>авторитет</i></b> по торакопластикам.	2.3333333333333335	2	2	3
11	авторитет	Загрохочет не только первомайский рапорт, могут грохнуть и <b><i>авторитет</i></b> завода и лауреатство.	Теперь конкурс подтвердил свой <b><i>авторитет</i></b>, нам доверяют.	3.6666666666666665	4	4	3
12	авторитет	"Между этими двумя фотографиями прошло только десять лет, но в 32 году О. М. уже знал, чем обернулись его юношеские мечты о красивой ""социальной архитектуре"", <b><i>авторитете</i></b> и преодолении наследства девятнадцатого века."	Их оценки весьма высоки, особенно если учесть, что это первый случай, когда российский коммерческий банк получает рейтинги таких признанных <b><i>авторитетов</i></b>, как Standard & Poor's и Moody's.	2.0	3	2	1
13	авторитет	Николай считал себя незыблемым и чуть ли не единственным <b><i>авторитетом</i></b> во всех вопросах кавалерийской службы.	Однако склоняюсь перед <b><i>авторитетом</i></b> Мастера купажа Martell Патрика Рагено -- он предлагает следующие сочетания: Martell Cordon Bleu и шоколад; Martell XO и китайский рыбный суп; Martell VS, разбавленный водой, и свежие салаты.	3.6666666666666665	4	4	3
14	авторитет	-- Только подрывают <b><i>авторитет</i></b>, -- сказала Таня.	"Дело доходило уже до того, что в адрес МО стали поступать телеграммы крупных преступных <b><i>авторитетов</i></b>, которые гарантировали ""полное спокойствие"" в гарнизонах, где дислоцировались десантники, если их не будут трогать."	1.0	1	1	1
