lemma	judgments_per_edge	edgeshares	excluded_nodes	nodes	judgments_total
авторитет	3.0	3=1.00	0	60	90
амбиция	3.0	3=1.00	0	60	90
апостол	2.8333333333333335	1=0.07,2=0.03,3=0.90	0	60	85
благодарность	3.0	3=1.00	0	60	90
блин	3.0	3=1.00	0	60	90
блондин	3.0	3=1.00	0	60	90
брат	3.0	3=1.00	0	60	90
бригада	2.966666666666667	2=0.03,3=0.97	0	60	89
веер	3.0	3=1.00	0	60	90
век	2.9655172413793105	2=0.03,3=0.97	0	58	86
верховье	3.0	3=1.00	0	60	90
возраст	3.0	3=1.00	0	60	90
вызов	3.0	3=1.00	0	60	90
головка	2.966666666666667	2=0.03,3=0.97	0	60	89
грех	3.0	3=1.00	0	60	90
дух	3.0	3=1.00	0	60	90
дядька	2.966666666666667	2=0.03,3=0.97	0	60	89
дядя	2.9	2=0.10,3=0.90	0	60	87
железо	2.9	2=0.10,3=0.90	0	60	87
жесть	3.0	3=1.00	0	60	90
живот	3.0	3=1.00	0	60	90
заблуждение	3.0	3=1.00	0	60	90
завод	3.0	3=1.00	0	60	90
закладка	2.966666666666667	2=0.03,3=0.97	0	60	89
земля	3.0	3=1.00	0	60	90
издательство	3.0	3=1.00	0	60	90
итальянец	3.0	3=1.00	0	60	90
кабан	2.966666666666667	2=0.03,3=0.97	0	60	89
карман	3.0	3=1.00	0	60	90
крушение	3.0	3=1.00	0	60	90
крыша	3.0	3=1.00	0	60	90
кулиса	3.0	3=1.00	0	60	90
лечение	3.0	3=1.00	0	60	90
линейка	2.966666666666667	2=0.03,3=0.97	0	60	89
лишение	3.0	3=1.00	0	60	90
локоть	2.966666666666667	2=0.03,3=0.97	0	60	89
лох	3.0	3=1.00	0	18	27
любовник	3.0	3=1.00	0	60	90
любовь	3.0	3=1.00	0	60	90
маньяк	2.966666666666667	2=0.03,3=0.97	0	60	89
монстр	3.0	3=1.00	0	60	90
наволочка	2.966666666666667	2=0.03,3=0.97	0	60	89
название	3.0	3=1.00	0	60	90
наложение	3.0	3=1.00	0	60	90
облако	2.966666666666667	2=0.03,3=0.97	0	60	89
обоснование	3.0	3=1.00	0	60	90
огонь	3.0	3=1.00	0	60	90
памятник	3.0	3=1.00	0	60	90
пафос	3.0	3=1.00	0	60	90
писк	3.0	3=1.00	0	60	90
план	3.0	3=1.00	0	60	90
поколение	3.0	3=1.00	0	60	90
половинка	3.0	3=1.00	0	60	90
полоса	3.0	3=1.00	0	60	90
полость	2.933333333333333	2=0.07,3=0.93	0	60	88
полукруг	3.0	3=1.00	0	60	90
помощник	3.0	3=1.00	0	60	90
понедельник	3.0	3=1.00	0	60	90
поставщик	3.0	3=1.00	0	60	90
поэзия	3.0	3=1.00	0	60	90
правда	3.0	3=1.00	0	60	90
предательство	3.0	3=1.00	0	60	90
прецедент	3.0	3=1.00	0	60	90
пролетарий	3.0	3=1.00	0	60	90
промышленность	2.966666666666667	2=0.03,3=0.97	0	60	89
проникновение	3.0	3=1.00	0	60	90
прорыв	3.0	3=1.00	0	60	90
путь	3.0	3=1.00	0	60	90
радикал	3.0	3=1.00	0	60	90
размышление	3.0	3=1.00	0	60	90
ранец	3.0	3=1.00	0	60	90
расчет	2.966666666666667	2=0.03,3=0.97	0	60	89
риторика	3.0	3=1.00	0	60	90
роспись	3.0	3=1.00	0	60	90
сверстник	2.966666666666667	2=0.03,3=0.97	0	60	89
связка	2.966666666666667	2=0.03,3=0.97	0	60	89
собрат	3.0	3=1.00	0	60	90
совершенство	3.0	3=1.00	0	60	90
советчик	3.0	3=1.00	0	60	90
союзник	3.0	3=1.00	0	60	90
список	2.966666666666667	2=0.03,3=0.97	0	60	89
спутник	3.0	3=1.00	0	60	90
ссылка	3.0	3=1.00	0	60	90
стена	3.0	3=1.00	0	60	90
стипендия	3.0	3=1.00	0	60	90
стол	3.0	3=1.00	0	60	90
тачка	2.966666666666667	2=0.03,3=0.97	0	60	89
тупик	3.0	3=1.00	0	60	90
увольнение	3.0	3=1.00	0	60	90
углеводород	3.0	3=1.00	0	60	90
удобство	3.0	3=1.00	0	60	90
уклад	3.0	3=1.00	0	60	90
университет	3.0	3=1.00	0	60	90
установление	2.966666666666667	2=0.03,3=0.97	0	60	89
фаворит	3.0	3=1.00	0	60	90
формат	3.0	3=1.00	0	60	90
формула	3.0	3=1.00	0	60	90
хозяйка	3.0	3=1.00	0	60	90
хор	2.966666666666667	2=0.03,3=0.97	0	60	89
хрен	3.0	3=1.00	0	60	90
цензура	3.0	3=1.00	0	60	90
центр	3.0	3=1.00	0	60	90
цифра	3.0	3=1.00	0	58	87
частица	3.0	3=1.00	0	60	90
чек	2.966666666666667	2=0.03,3=0.97	0	60	89
четверть	3.0	3=1.00	0	60	90
штаб	3.0	3=1.00	0	60	90
эшелон	3.0	3=1.00	0	60	90
юбилей	3.0	3=1.00	0	60	90
ядро	3.0	3=1.00	0	60	90
ясли	3.0	3=1.00	0	60	90
