lemma	grouping	nodes	nodes1	nodes2	EARLIER	LATER	COMPARE
авторитет	1700-1916_1918-1990	60	30	30	nan	nan	3.3666666666666667
амбиция	1700-1916_1918-1990	60	30	30	nan	nan	3.1
апостол	1700-1916_1918-1990	58	29	29	nan	nan	3.5
благодарность	1700-1916_1918-1990	60	30	30	nan	nan	3.3666666666666667
блин	1700-1916_1918-1990	60	30	30	nan	nan	3.3666666666666667
блондин	1700-1916_1918-1990	60	30	30	nan	nan	4.0
брат	1700-1916_1918-1990	60	30	30	nan	nan	3.3
бригада	1700-1916_1918-1990	60	30	30	nan	nan	2.8
веер	1700-1916_1918-1990	60	30	30	nan	nan	2.433333333333333
век	1700-1916_1918-1990	58	29	29	nan	nan	3.3448275862068964
верховье	1700-1916_1918-1990	60	30	30	nan	nan	3.7333333333333334
возраст	1700-1916_1918-1990	60	30	30	nan	nan	3.566666666666667
вызов	1700-1916_1918-1990	60	30	30	nan	nan	2.2
головка	1700-1916_1918-1990	60	30	30	nan	nan	2.15
грех	1700-1916_1918-1990	60	30	30	nan	nan	3.533333333333333
дух	1700-1916_1918-1990	60	30	30	nan	nan	2.2666666666666666
дядька	1700-1916_1918-1990	58	29	29	nan	nan	2.6206896551724137
дядя	1700-1916_1918-1990	60	30	30	nan	nan	3.566666666666667
железо	1700-1916_1918-1990	60	30	30	nan	nan	2.2333333333333334
жесть	1700-1916_1918-1990	60	30	30	nan	nan	3.283333333333333
живот	1700-1916_1918-1990	60	30	30	nan	nan	2.9
заблуждение	1700-1916_1918-1990	60	30	30	nan	nan	3.566666666666667
завод	1700-1916_1918-1990	60	30	30	nan	nan	3.2
закладка	1700-1916_1918-1990	60	30	30	nan	nan	1.9333333333333333
земля	1700-1916_1918-1990	60	30	30	nan	nan	2.3333333333333335
издательство	1700-1916_1918-1990	60	30	30	nan	nan	3.566666666666667
итальянец	1700-1916_1918-1990	60	30	30	nan	nan	3.8333333333333335
кабан	1700-1916_1918-1990	60	30	30	nan	nan	3.7333333333333334
карман	1700-1916_1918-1990	60	30	30	nan	nan	3.433333333333333
крушение	1700-1916_1918-1990	60	30	30	nan	nan	2.816666666666667
крыша	1700-1916_1918-1990	58	29	29	nan	nan	3.6551724137931036
кулиса	1700-1916_1918-1990	60	30	30	nan	nan	3.2666666666666666
лечение	1700-1916_1918-1990	60	30	30	nan	nan	3.7333333333333334
линейка	1700-1916_1918-1990	60	30	30	nan	nan	1.8
лишение	1700-1916_1918-1990	60	30	30	nan	nan	2.85
локоть	1700-1916_1918-1990	60	30	30	nan	nan	3.4
лох	1700-1916_1918-1990	18	9	9	nan	nan	1.0
любовник	1700-1916_1918-1990	60	30	30	nan	nan	3.566666666666667
любовь	1700-1916_1918-1990	60	30	30	nan	nan	3.466666666666667
маньяк	1700-1916_1918-1990	60	30	30	nan	nan	3.3666666666666667
монстр	1700-1916_1918-1990	60	30	30	nan	nan	2.7
наволочка	1700-1916_1918-1990	60	30	30	nan	nan	3.7
название	1700-1916_1918-1990	60	30	30	nan	nan	3.7
наложение	1700-1916_1918-1990	60	30	30	nan	nan	1.8333333333333333
облако	1700-1916_1918-1990	60	30	30	nan	nan	3.25
обоснование	1700-1916_1918-1990	60	30	30	nan	nan	3.8333333333333335
огонь	1700-1916_1918-1990	60	30	30	nan	nan	2.033333333333333
памятник	1700-1916_1918-1990	60	30	30	nan	nan	2.933333333333333
пафос	1700-1916_1918-1990	60	30	30	nan	nan	3.6333333333333333
писк	1700-1916_1918-1990	60	30	30	nan	nan	3.2333333333333334
план	1700-1916_1918-1990	60	30	30	nan	nan	2.6333333333333333
поколение	1700-1916_1918-1990	60	30	30	nan	nan	3.6333333333333333
половинка	1700-1916_1918-1990	60	30	30	nan	nan	2.55
полоса	1700-1916_1918-1990	58	29	29	nan	nan	1.793103448275862
полость	1700-1916_1918-1990	60	30	30	nan	nan	2.3
полукруг	1700-1916_1918-1990	60	30	30	nan	nan	2.9
помощник	1700-1916_1918-1990	60	30	30	nan	nan	3.2666666666666666
понедельник	1700-1916_1918-1990	60	30	30	nan	nan	3.8666666666666667
поставщик	1700-1916_1918-1990	60	30	30	nan	nan	3.6333333333333333
поэзия	1700-1916_1918-1990	58	29	29	nan	nan	3.3448275862068964
правда	1700-1916_1918-1990	60	30	30	nan	nan	3.066666666666667
предательство	1700-1916_1918-1990	60	30	30	nan	nan	3.8666666666666667
прецедент	1700-1916_1918-1990	60	30	30	nan	nan	3.7666666666666666
пролетарий	1700-1916_1918-1990	60	30	30	nan	nan	3.433333333333333
промышленность	1700-1916_1918-1990	60	30	30	nan	nan	3.3666666666666667
проникновение	1700-1916_1918-1990	60	30	30	nan	nan	2.7666666666666666
прорыв	1700-1916_1918-1990	60	30	30	nan	nan	2.033333333333333
путь	1700-1916_1918-1990	60	30	30	nan	nan	2.316666666666667
радикал	1700-1916_1918-1990	60	30	30	nan	nan	1.6
размышление	1700-1916_1918-1990	60	30	30	nan	nan	3.6666666666666665
ранец	1700-1916_1918-1990	60	30	30	nan	nan	3.8
расчет	1700-1916_1918-1990	60	30	30	nan	nan	1.9666666666666666
риторика	1700-1916_1918-1990	60	30	30	nan	nan	3.183333333333333
роспись	1700-1916_1918-1990	60	30	30	nan	nan	1.4166666666666667
сверстник	1700-1916_1918-1990	60	30	30	nan	nan	3.966666666666667
связка	1700-1916_1918-1990	60	30	30	nan	nan	2.433333333333333
собрат	1700-1916_1918-1990	60	30	30	nan	nan	3.466666666666667
совершенство	1700-1916_1918-1990	60	30	30	nan	nan	2.933333333333333
советчик	1700-1916_1918-1990	60	30	30	nan	nan	3.3
союзник	1700-1916_1918-1990	60	30	30	nan	nan	3.7666666666666666
список	1700-1916_1918-1990	60	30	30	nan	nan	3.3333333333333335
спутник	1700-1916_1918-1990	60	30	30	nan	nan	3.2
ссылка	1700-1916_1918-1990	60	30	30	nan	nan	2.966666666666667
стена	1700-1916_1918-1990	60	30	30	nan	nan	3.1333333333333333
стипендия	1700-1916_1918-1990	60	30	30	nan	nan	3.966666666666667
стол	1700-1916_1918-1990	60	30	30	nan	nan	3.6
тачка	1700-1916_1918-1990	60	30	30	nan	nan	3.55
тупик	1700-1916_1918-1990	60	30	30	nan	nan	3.316666666666667
увольнение	1700-1916_1918-1990	60	30	30	nan	nan	3.1666666666666665
