data	avg_judgment_no	kri_full	kri2_full	spr_mean_weighted	spr_mean	ham_mean_weighted	ham_mean	judgments_total	judgment_1.0	judgment_2.0	judgment_3.0	judgment_4.0	judgment_0.0
full	2.9869815319	0.5311118737	0.5311678536	0.5307880362	0.5308687743	0.5627035831	0.5627404502	9866	2140	951	1660	5115	0
авторитет	3	0.2823494593	0.4323053345	0.2846679466	0.2846679466	0.4444444444	0.4444444444	90	9	9	24	48	0
амбиция	3	0.4010726847	0.5232509507	0.3926555677	0.3926555677	0.4	0.4	90	11	10	27	42	0
апостол	2.9310344828	0.433949847	0.5860687105	0.4598926648	0.4612143411	0.6987951807	0.6998722861	85	9	3	10	63	0
благодарность	3	0.1693814757	0.3330356946	0.1764441525	0.1764441525	0.4	0.4	90	9	10	22	49	0
блин	2.9666666667	0.6867853033	0.6894955493	0.6885358636	0.6880896123	0.7727272727	0.7724137931	89	20	2	6	61	0
блондин	3	-0.0470588235	0.7952900946	-0.0728357041	-0.0728357041	0.8888888889	0.8888888889	90	0	0	5	85	0
брат	2.9666666667	0.3090853925	0.4175338184	0.3208127541	0.3220705242	0.5	0.5	89	9	14	14	52	0
бригада	3	0.7463574595	0.7430900426	0.7752154768	0.7752154768	0.5555555556	0.5555555556	90	21	16	13	40	0
веер	2.9666666667	0.7024873354	0.664454208	0.6959146768	0.6979322634	0.6022727273	0.6030651341	89	30	14	11	34	0
век	2.9310344828	0.3778129186	0.4257105948	0.3864405824	0.3893691806	0.578313253	0.5789697744	85	14	7	12	52	0
верховье	2.9	0.5397704483	0.7472486159	0.5897678284	0.5936473392	0.7857142857	0.787654321	87	1	8	8	70	0
возраст	3	0.2538849014	0.4861178991	0.2573765345	0.2573765345	0.5555555556	0.5555555556	90	3	7	24	56	0
вызов	3	0.4817217679	0.4217500909	0.484372741	0.484372741	0.5	0.5	90	42	12	14	22	0
головка	2.9333333333	0.8337991003	0.7744431652	0.8261592537	0.8257590236	0.7441860465	0.7444444444	88	46	8	4	30	0
грех	3	0.3490656345	0.5398068282	0.3432451397	0.3432451397	0.6	0.6	90	5	5	21	59	0
дух	3	0.6605271986	0.5818536991	0.6773952571	0.6773952571	0.6555555556	0.6555555556	90	40	11	9	30	0
дядька	2.9655172414	0.3508769092	0.2637444727	0.3306748068	0.3302209739	0.4	0.3998357964	86	29	11	12	34	0
дядя	3	0.195034696	0.351354256	0.2233411685	0.2233411685	0.5111111111	0.5111111111	90	11	3	17	59	0
железо	3	0.7168475577	0.6592023311	0.7239602437	0.7239602437	0.6333333333	0.6333333333	90	45	7	13	25	0
жесть	2.9666666667	0.2856008608	0.3290606475	0.2650050775	0.2636954388	0.5909090909	0.5904214559	89	16	6	8	59	0
живот	3	0.6468276124	0.5787947484	0.66604082	0.66604082	0.7111111111	0.7111111111	90	28	3	8	51	0
заблуждение	3	0.099009824	0.3803320137	0.0934504914	0.0934504914	0.5111111111	0.5111111111	90	3	7	22	58	0
завод	3	0.5001520416	0.5354420154	0.5086152363	0.5086152363	0.6222222222	0.6222222222	90	18	1	20	51	0
закладка	3	0.5374787953	0.457325801	0.5472014693	0.5472014693	0.6333333333	0.6333333333	90	53	9	9	19	0
земля	3	0.1903393888	0.3452451342	0.204705379	0.204705379	0.3333333333	0.3333333333	90	24	24	24	18	0
издательство	3	0.2461313861	0.4804162854	0.2581970965	0.2581970965	0.6777777778	0.6777777778	90	8	5	8	69	0
итальянец	2.9666666667	0.3590396624	0.6672479001	0.3925195887	0.3951890785	0.7727272727	0.7739463602	89	4	3	8	74	0
кабан	3	0.3961622312	0.6232968607	0.395981407	0.395981407	0.7555555556	0.7555555556	90	8	2	8	72	0
карман	3	0.4499470715	0.5901492897	0.4727499556	0.4727499556	0.7111111111	0.7111111111	90	10	6	6	68	0
крушение	2.9666666667	0.5189899938	0.5811317902	0.5230361691	0.5234428727	0.4886363636	0.4885057471	89	17	20	20	32	0
крыша	3	0.4432500129	0.62743775	0.4457640657	0.4457640657	0.724137931	0.724137931	87	7	1	14	65	0
кулиса	3	0.2417543764	0.270964337	0.2323980859	0.2323980859	0.4888888889	0.4888888889	90	16	9	9	56	0
лечение	3	0.458921678	0.6793710119	0.4647132281	0.4647132281	0.7444444444	0.7444444444	90	5	2	12	71	0
линейка	2.9666666667	0.7257813509	0.665597992	0.740801654	0.7401662729	0.7727272727	0.7724137931	89	58	2	9	20	0
лишение	2.9666666667	0.5360427135	0.5203482875	0.6159009256	0.6159862773	0.5227272727	0.5229885057	89	21	8	14	46	0
локоть	3	0.6855499533	0.7038684031	0.6967487575	0.6967487575	0.8222222222	0.8222222222	90	20	0	5	65	0
лох	2.7777777778	nan	1	0	nan	1	1	25	25	0	0	0	0
любовник	3	0.4089917378	0.5598957652	0.4234096744	0.4234096744	0.6	0.6	90	7	6	16	61	0
любовь	2.9666666667	0.0118451845	0.2724473952	0.0013113662	0.0008086279	0.3636363636	0.3639846743	89	4	14	23	48	0
маньяк	3	0.0960315421	0.2585775657	0.0904353575	0.0904353575	0.3888888889	0.3888888889	90	9	18	19	44	0
монстр	3	0.1382039897	0.0906665045	0.1287069409	0.1287069409	0.3555555556	0.3555555556	90	28	13	16	33	0
наволочка	2.9666666667	0.3872141027	0.648692305	0.3267738917	0.3240564183	0.7727272727	0.7724137931	89	7	5	3	74	0
название	3	0.1368139608	0.3883775702	0.1333758202	0.1333758202	0.5444444444	0.5444444444	90	5	5	22	58	0
наложение	3	0.5673420353	0.5588625265	0.5736747695	0.5736747695	0.5444444444	0.5444444444	90	46	16	14	14	0
облако	2.9666666667	0.3621348372	0.4665842738	0.3334776399	0.3326072553	0.5227272727	0.5229885057	89	10	12	19	48	0
обоснование	2.9666666667	0.2257105089	0.5746934076	0.2236754497	0.2211775378	0.6931818182	0.691954023	89	0	1	21	67	0
огонь	2.9666666667	0.3750462712	0.273762039	0.3597900139	0.3607603651	0.4886363636	0.4885057471	89	47	7	14	21	0
памятник	3	0.2894150298	0.3730877816	0.3092670369	0.3092670369	0.3777777778	0.3777777778	90	15	18	19	38	0
пафос	3	-0.0091567152	0.2387314885	0.0005567451	0.0005567451	0.3555555556	0.3555555556	90	5	12	20	53	0
писк	3	0.4118476923	0.4886606984	0.4117654019	0.4117654019	0.5222222222	0.5222222222	90	11	12	14	53	0
план	3	0.5922520818	0.5333069797	0.593892649	0.593892649	0.5111111111	0.5111111111	90	29	10	12	39	0
поколение	3	0.1217413262	0.3366796692	0.1406651794	0.1406651794	0.5333333333	0.5333333333	90	7	7	16	60	0
половинка	2.9666666667	0.2459377721	0.2269111938	0.2777828837	0.2788007032	0.3068181818	0.30651341	89	27	19	13	30	0
полоса	3	0.3054250442	0.3133911189	0.3314392757	0.3314392757	0.4252873563	0.4252873563	87	49	13	15	10	0
полость	3	0.556091012	0.5058487335	0.6047395792	0.6047395792	0.5222222222	0.5222222222	90	41	10	16	23	0
полукруг	3	0.2154074371	0.3401049747	0.2195372401	0.2195372401	0.3444444444	0.3444444444	90	16	19	23	32	0
помощник	3	0.0952845344	0.3751085086	0.1100114102	0.1100114102	0.3888888889	0.3888888889	90	4	12	31	43	0
понедельник	3	0.4082822268	0.7571130863	0.4009707522	0.4009707522	0.8222222222	0.8222222222	90	3	3	5	79	0
поставщик	3	0.37006975	0.5868363275	0.3807962936	0.3807962936	0.6333333333	0.6333333333	90	1	9	18	62	0
поэзия	3	0.2367219294	0.3651828071	0.2263648177	0.2263648177	0.4482758621	0.4482758621	87	10	9	19	49	0
правда	3	0.1557119233	0.2818135912	0.1808779127	0.1808779127	0.3888888889	0.3888888889	90	11	13	19	47	0
предательство	2.9666666667	0.1364271725	0.4980358577	0.1210652721	0.1211163231	0.6590909091	0.6590038314	89	4	2	13	70	0
прецедент	3	0.1496247355	0.4019350636	0.1437014243	0.1437014243	0.5555555556	0.5555555556	90	6	5	15	64	0
пролетарий	3	0.2478072216	0.4740591256	0.2364259428	0.2364259428	0.4888888889	0.4888888889	90	5	5	29	51	0
промышленность	3	0.105744808	0.3377056703	0.1215758207	0.1215758207	0.4111111111	0.4111111111	90	7	8	28	47	0
проникновение	3	0.3685574945	0.4751738232	0.3576488669	0.3576488669	0.3444444444	0.3444444444	90	17	18	25	30	0
прорыв	3	0.5393806049	0.4950125554	0.5671405119	0.5671405119	0.6	0.6	90	45	11	15	19	0
путь	2.9666666667	0.2572096778	0.2943615153	0.2499283691	0.2478755762	0.3068181818	0.3068965517	89	29	17	20	23	0
радикал	3	0.8114287481	0.8018456067	0.8227449878	0.8227449878	0.7888888889	0.7888888889	90	64	3	10	13	0
размышление	3	0.2848336589	0.4921105198	0.2853659832	0.2853659832	0.6444444444	0.6444444444	90	8	2	15	65	0
ранец	3	0.168953562	0.4690792825	0.1631597116	0.1631597116	0.5888888889	0.5888888889	90	2	4	22	62	0
расчет	2.9666666667	0.5470896725	0.5186724118	0.5840598477	0.5823904276	0.5227272727	0.5222222222	89	44	18	10	17	0
риторика	2.9666666667	0.2063218877	0.3650821016	0.2494454701	0.250649837	0.3636363636	0.3639846743	89	9	17	22	41	0
роспись	2.9666666667	0.4960474334	0.5964211355	0.4752047841	0.4766046143	0.7386363636	0.7394636015	89	70	3	12	4	0
сверстник	3	-0.0263762626	0.6191288484	0.0416562539	0.0416562539	0.7777777778	0.7777777778	90	0	1	10	79	0
связка	3	0.7126178599	0.6694398044	0.7115303711	0.7115303711	0.6333333333	0.6333333333	90	39	9	15	27	0
собрат	3	0.2115007386	0.4449584752	0.2127512561	0.2127512561	0.5333333333	0.5333333333	90	2	12	19	57	0
совершенство	2.9666666667	0.3182483507	0.5094759783	0.2961120185	0.2965228212	0.4545454545	0.4544061303	89	12	11	35	31	0
советчик	3	0.1803211918	0.2999979294	0.1891195844	0.1891195844	0.4333333333	0.4333333333	90	11	10	17	52	0
союзник	3	0.0632794171	0.4617107178	0.0533831509	0.0533831509	0.6666666667	0.6666666667	90	4	4	10	72	0
список	2.9666666667	0.2069612086	0.4060339974	0.2043840571	0.2024515398	0.4204545455	0.4206896552	89	8	6	28	47	0
спутник	2.9666666667	0.7345058539	0.7532379124	0.7865829631	0.7870383221	0.6931818182	0.6942528736	89	16	5	16	52	0
ссылка	3	0.6698646275	0.5917137968	0.6757894641	0.6757894641	0.7555555556	0.7555555556	90	30	2	7	51	0
стена	3	0.4448252788	0.4533536625	0.4369033473	0.4369033473	0.5888888889	0.5888888889	90	16	13	7	54	0
стипендия	3	-0.1120846842	0.4836019226	-0.1226578845	-0.1226578845	0.6888888889	0.6888888889	90	0	3	12	75	0
стол	2.9666666667	0.5067937073	0.6545165967	0.4986783664	0.4990149999	0.7613636364	0.7620689655	89	10	5	4	70	0
тачка	2.9333333333	0.3325321339	0.4664580757	0.330181378	0.3283382866	0.6046511628	0.603968254	88	11	2	16	59	0
тупик	2.9666666667	0.3321097573	0.3867934543	0.3928876933	0.3942058978	0.5	0.5007662835	89	14	9	13	53	0
увольнение	3	0.5111894947	0.5376787017	0.51383861	0.51383861	0.6444444444	0.6444444444	90	17	4	12	57	0
углеводород	3	0.1058106879	0.477668211	0.1024393016	0.1024393016	0.6555555556	0.6555555556	90	1	3	19	67	0
удобство	3	0.2314188606	0.2006141373	0.2338278879	0.2338278879	0.3888888889	0.3888888889	90	29	22	10	29	0
уклад	3	0.0944657301	0.3364705696	0.138525277	0.138525277	0.4333333333	0.4333333333	90	5	10	25	50	0
университет	3	0.5467915759	0.6898909266	0.5478907935	0.5478907935	0.7444444444	0.7444444444	90	7	5	10	68	0
установление	2.9666666667	0.3113844729	0.3435015985	0.3149497454	0.3146315499	0.3522727273	0.3517241379	89	36	10	25	18	0
фаворит	3	0.4642870608	0.5012747725	0.4807285744	0.4807285744	0.5777777778	0.5777777778	90	16	6	16	52	0
формат	2.9666666667	0.5381040785	0.5119898984	0.5543321023	0.5538221258	0.5340909091	0.5348659004	89	23	10	14	42	0
формула	3	0.1949703042	0.1927926932	0.1834200342	0.1834200342	0.4222222222	0.4222222222	90	22	12	17	39	0
хозяйка	3	0.2534255144	0.3991577117	0.2537358145	0.2537358145	0.4777777778	0.4777777778	90	8	12	19	51	0
хор	3	0.5465933781	0.5455350432	0.5636221627	0.5636221627	0.4777777778	0.4777777778	90	24	16	16	34	0
хрен	3	0.6781989991	0.615989788	0.7115831509	0.7115831509	0.7444444444	0.7444444444	90	61	5	5	19	0
цензура	2.9666666667	-0.0434046503	0.2508956003	-0.0803531466	-0.0814057678	0.4886363636	0.4888888889	89	6	5	17	61	0
центр	3	0.0794709152	0.1437760178	0.0777308678	0.0777308678	0.2777777778	0.2777777778	90	35	23	16	16	0
цифра	3	0.327000256	0.3793552534	0.350821536	0.350821536	0.5111111111	0.5111111111	90	17	11	20	42	0
частица	3	0.2639147115	0.2242845124	0.2462733972	0.2462733972	0.4666666667	0.4666666667	90	48	12	15	15	0
чек	3	0.6406715398	0.5801418794	0.6295338313	0.6295338313	0.6222222222	0.6222222222	90	38	9	14	29	0
четверть	2.9666666667	0.3492883847	0.3713412502	0.4036104714	0.4031088378	0.4204545455	0.4206896552	89	34	17	19	19	0
штаб	3	0.0747362787	0.4279615984	0.0647789415	0.0647789415	0.6	0.6	90	3	5	14	68	0
эшелон	3	0.1297658015	0.0189431939	0.1461365966	0.1461365966	0.4222222222	0.4222222222	90	25	6	10	49	0
юбилей	3	0.1236005486	0.4926731647	0.1127238156	0.1127238156	0.6333333333	0.6333333333	90	0	6	16	68	0
ядро	3	0.7387768687	0.7381861094	0.7402528655	0.7402528655	0.7888888889	0.7888888889	90	68	6	3	13	0
ясли	2.9666666667	0.4995327749	0.2979731172	0.4777862058	0.4778168975	0.625	0.6252873563	89	47	3	6	33	0
