lemma	grouping	nodes	nodes1	nodes2	EARLIER	LATER	COMPARE
авторитет	1918-1990_1992-2016	60	30	30	nan	nan	2.966666666666667
амбиция	1918-1990_1992-2016	60	30	30	nan	nan	3.566666666666667
апостол	1918-1990_1992-2016	60	30	30	nan	nan	3.5166666666666666
благодарность	1918-1990_1992-2016	60	30	30	nan	nan	3.7333333333333334
блин	1918-1990_1992-2016	60	30	30	nan	nan	1.6333333333333333
блондин	1918-1990_1992-2016	60	30	30	nan	nan	3.966666666666667
брат	1918-1990_1992-2016	60	30	30	nan	nan	3.1
бригада	1918-1990_1992-2016	60	30	30	nan	nan	2.75
веер	1918-1990_1992-2016	60	30	30	nan	nan	2.533333333333333
век	1918-1990_1992-2016	60	30	30	nan	nan	3.3333333333333335
верховье	1918-1990_1992-2016	60	30	30	nan	nan	3.8
возраст	1918-1990_1992-2016	60	30	30	nan	nan	3.9
вызов	1918-1990_1992-2016	60	30	30	nan	nan	2.1
головка	1918-1990_1992-2016	60	30	30	nan	nan	1.5666666666666667
грех	1918-1990_1992-2016	60	30	30	nan	nan	3.0
дух	1918-1990_1992-2016	60	30	30	nan	nan	1.5
дядька	1918-1990_1992-2016	60	30	30	nan	nan	3.1333333333333333
дядя	1918-1990_1992-2016	58	29	29	nan	nan	3.5
железо	1918-1990_1992-2016	58	29	29	nan	nan	2.4655172413793105
жесть	1918-1990_1992-2016	60	30	30	nan	nan	3.533333333333333
живот	1918-1990_1992-2016	60	30	30	nan	nan	3.533333333333333
заблуждение	1918-1990_1992-2016	60	30	30	nan	nan	3.933333333333333
завод	1918-1990_1992-2016	60	30	30	nan	nan	3.8333333333333335
закладка	1918-1990_1992-2016	60	30	30	nan	nan	1.9
земля	1918-1990_1992-2016	60	30	30	nan	nan	2.6666666666666665
издательство	1918-1990_1992-2016	60	30	30	nan	nan	3.933333333333333
итальянец	1918-1990_1992-2016	60	30	30	nan	nan	3.8
кабан	1918-1990_1992-2016	60	30	30	nan	nan	3.533333333333333
карман	1918-1990_1992-2016	60	30	30	nan	nan	3.466666666666667
крушение	1918-1990_1992-2016	60	30	30	nan	nan	2.8
крыша	1918-1990_1992-2016	60	30	30	nan	nan	3.1333333333333333
кулиса	1918-1990_1992-2016	60	30	30	nan	nan	3.2
лечение	1918-1990_1992-2016	60	30	30	nan	nan	3.8666666666666667
линейка	1918-1990_1992-2016	60	30	30	nan	nan	1.3333333333333333
лишение	1918-1990_1992-2016	60	30	30	nan	nan	1.9333333333333333
локоть	1918-1990_1992-2016	60	30	30	nan	nan	3.466666666666667
лох	1918-1990_1992-2016	18	9	9	nan	nan	2.111111111111111
любовник	1918-1990_1992-2016	60	30	30	nan	nan	3.8666666666666667
любовь	1918-1990_1992-2016	60	30	30	nan	nan	3.066666666666667
маньяк	1918-1990_1992-2016	60	30	30	nan	nan	3.2666666666666666
монстр	1918-1990_1992-2016	60	30	30	nan	nan	2.3666666666666667
наволочка	1918-1990_1992-2016	60	30	30	nan	nan	3.8666666666666667
название	1918-1990_1992-2016	60	30	30	nan	nan	3.8
наложение	1918-1990_1992-2016	60	30	30	nan	nan	2.033333333333333
облако	1918-1990_1992-2016	60	30	30	nan	nan	3.033333333333333
обоснование	1918-1990_1992-2016	60	30	30	nan	nan	3.7
огонь	1918-1990_1992-2016	60	30	30	nan	nan	2.0
памятник	1918-1990_1992-2016	60	30	30	nan	nan	2.8333333333333335
пафос	1918-1990_1992-2016	60	30	30	nan	nan	3.433333333333333
писк	1918-1990_1992-2016	60	30	30	nan	nan	3.1666666666666665
план	1918-1990_1992-2016	60	30	30	nan	nan	2.2
поколение	1918-1990_1992-2016	60	30	30	nan	nan	3.6666666666666665
половинка	1918-1990_1992-2016	60	30	30	nan	nan	2.8666666666666667
полоса	1918-1990_1992-2016	60	30	30	nan	nan	1.4333333333333333
полость	1918-1990_1992-2016	60	30	30	nan	nan	1.7
полукруг	1918-1990_1992-2016	60	30	30	nan	nan	3.3333333333333335
помощник	1918-1990_1992-2016	60	30	30	nan	nan	3.7
понедельник	1918-1990_1992-2016	60	30	30	nan	nan	3.933333333333333
поставщик	1918-1990_1992-2016	60	30	30	nan	nan	3.533333333333333
поэзия	1918-1990_1992-2016	60	30	30	nan	nan	3.9
правда	1918-1990_1992-2016	60	30	30	nan	nan	3.0
предательство	1918-1990_1992-2016	60	30	30	nan	nan	3.6333333333333333
прецедент	1918-1990_1992-2016	60	30	30	nan	nan	3.9
пролетарий	1918-1990_1992-2016	60	30	30	nan	nan	3.6666666666666665
промышленность	1918-1990_1992-2016	60	30	30	nan	nan	3.683333333333333
проникновение	1918-1990_1992-2016	60	30	30	nan	nan	2.7333333333333334
прорыв	1918-1990_1992-2016	60	30	30	nan	nan	2.0
путь	1918-1990_1992-2016	60	30	30	nan	nan	1.9333333333333333
радикал	1918-1990_1992-2016	60	30	30	nan	nan	2.2
размышление	1918-1990_1992-2016	60	30	30	nan	nan	3.6333333333333333
ранец	1918-1990_1992-2016	60	30	30	nan	nan	3.466666666666667
расчет	1918-1990_1992-2016	60	30	30	nan	nan	1.9
риторика	1918-1990_1992-2016	58	29	29	nan	nan	3.0
роспись	1918-1990_1992-2016	60	30	30	nan	nan	3.066666666666667
сверстник	1918-1990_1992-2016	60	30	30	nan	nan	3.966666666666667
связка	1918-1990_1992-2016	60	30	30	nan	nan	1.9666666666666666
собрат	1918-1990_1992-2016	60	30	30	nan	nan	3.45
совершенство	1918-1990_1992-2016	60	30	30	nan	nan	3.35
советчик	1918-1990_1992-2016	60	30	30	nan	nan	3.8
союзник	1918-1990_1992-2016	60	30	30	nan	nan	3.6666666666666665
список	1918-1990_1992-2016	60	30	30	nan	nan	3.3666666666666667
спутник	1918-1990_1992-2016	60	30	30	nan	nan	2.033333333333333
ссылка	1918-1990_1992-2016	60	30	30	nan	nan	2.1
стена	1918-1990_1992-2016	60	30	30	nan	nan	3.2333333333333334
стипендия	1918-1990_1992-2016	60	30	30	nan	nan	3.8
стол	1918-1990_1992-2016	60	30	30	nan	nan	3.2
тачка	1918-1990_1992-2016	60	30	30	nan	nan	2.066666666666667
тупик	1918-1990_1992-2016	60	30	30	nan	nan	2.966666666666667
увольнение	1918-1990_1992-2016	60	30	30	nan	nan	3.6
углеводород	1918-1990_1992-2016	60	30	30	nan	nan	3.3666666666666667
удобство	1918-1990_1992-2016	60	30	30	nan	nan	2.466666666666667
уклад	1918-1990_1992-2016	60	30	30	nan	nan	3.6333333333333333
университет	1918-1990_1992-2016	60	30	30	nan	nan	3.8
установление	1918-1990_1992-2016	60	30	30	nan	nan	2.1333333333333333
фаворит	1918-1990_1992-2016	60	30	30	nan	nan	2.566666666666667
формат	1918-1990_1992-2016	60	30	30	nan	nan	1.9333333333333333
формула	1918-1990_1992-2016	60	30	30	nan	nan	2.1666666666666665
хозяйка	1918-1990_1992-2016	60	30	30	nan	nan	3.3333333333333335
хор	1918-1990_1992-2016	58	29	29	nan	nan	2.9310344827586206
хрен	1918-1990_1992-2016	60	30	30	nan	nan	2.3333333333333335
цензура	1918-1990_1992-2016	60	30	30	nan	nan	3.533333333333333
центр	1918-1990_1992-2016	60	30	30	nan	nan	1.8666666666666667
цифра	1918-1990_1992-2016	60	30	30	nan	nan	3.033333333333333
частица	1918-1990_1992-2016	60	30	30	nan	nan	2.3333333333333335
чек	1918-1990_1992-2016	60	30	30	nan	nan	1.8
четверть	1918-1990_1992-2016	60	30	30	nan	nan	3.066666666666667
штаб	1918-1990_1992-2016	60	30	30	nan	nan	3.466666666666667
эшелон	1918-1990_1992-2016	60	30	30	nan	nan	2.2333333333333334
юбилей	1918-1990_1992-2016	60	30	30	nan	nan	3.8333333333333335
ядро	1918-1990_1992-2016	60	30	30	nan	nan	1.8666666666666667
ясли	1918-1990_1992-2016	60	30	30	nan	nan	3.066666666666667
