lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang
грех	NOUN	1700	1700-1916	1700-1916_грех_1396		Ты, впрочем, слишком обвиняешь Дантеса, -- нравственность, или, скорее, общая безнравственность, с моей точки зрения, дает ему отпущение грехов: его преступление или его несчастье в том, что он убил Пушкина, -- и этого более чем достаточно, чтобы считать, что он нанес нам непростительное, на мой взгляд, оскорбление.	137:143	0:317	1396	rushifteval	ru
грех	NOUN	1992	1992-2016	1992-2016_грех_1397		Где-то в неведомых высших сферах -- в политотделе бригады или дивизии -- дали нам всем по выговору, и уже в Болгарии перед строем прочли, кому, за какие грехи и -- сколько.	153:158	0:172	1397	rushifteval	ru
грех	NOUN	1700	1700-1916	1700-1916_грех_1398		Вы сомневаетесь, как я приму Ваше мнение насчет цены, назначенной Смирдиным, или, лучше сказать, Смирдину Как Вам не грех!	117:121	0:122	1398	rushifteval	ru
грех	NOUN	1992	1992-2016	1992-2016_грех_1399		Это можно отнести к понятию истины (emeth), которое в Первоисайе почти исключительно относится к представлению о верности как результату воздействия духа добра; напротив, обман, грех суть следствия влияния духа зла (см.	178:182	0:219	1399	rushifteval	ru
грех	NOUN	1700	1700-1916	1700-1916_грех_1400		Уж ему не понять всего этого греха и соблазна!	29:34	0:46	1400	rushifteval	ru
грех	NOUN	1992	1992-2016	1992-2016_грех_1401		Новый срок получил, отмотал, и тут опять случился грех: замерз, как цуцик, вот и стащил брюки.	50:54	0:94	1401	rushifteval	ru
грех	NOUN	1700	1700-1916	1700-1916_грех_1402		Дашенька в омут головой была готова, -- а это правда сущая, -- на вашей душе был бы грех.	84:88	0:89	1402	rushifteval	ru
грех	NOUN	1992	1992-2016	1992-2016_грех_1403		Я впервые столкнулся с таким весьма глобальным отчуждением и, чего там греха таить, испугался.	71:76	0:94	1403	rushifteval	ru
грех	NOUN	1700	1700-1916	1700-1916_грех_1404		Стены конторы внутри были только что выделаны и еще хранили следы топора, которым с грехом пополам были обтесаны бревна.	84:90	0:120	1404	rushifteval	ru
грех	NOUN	1992	1992-2016	1992-2016_грех_1405		Теперь я понял: да, я должен искупить свою вину, смыть с себя этот грех.	67:71	0:72	1405	rushifteval	ru
